,id,AreaHa,PrimaryUse,geometry,lon,lat,nodes
196,196,8.195,Canal,POINT (531528.0542910963 188615.26630747863),-0.10310835730016585,51.581060941556025,220841
197,197,8.195,Canal,POINT (531566.2611104677 188522.6955454863),-0.10259190379544766,51.58022014578492,220840
198,198,8.195,Canal,POINT (531461.6215381711 188674.8743612345),-0.10404428305590467,51.58161210257051,9796133
199,199,8.195,Canal,POINT (531285.6044984213 188823.79760812785),-0.10652754138991447,51.58299141658699,220845
200,200,8.195,Canal,POINT (531592.6015691265 188183.13602856649),-0.10233902559690472,51.57716257516318,357382281
201,201,8.195,Canal,POINT (531795.2717733529 187808.5351753922),-0.09955635465603041,51.57374890200158,199452
202,202,8.195,Canal,POINT (531100.7921270318 189229.33206906958),-0.10904213457608876,51.586678745551886,242351631
203,203,8.195,Canal,POINT (530453.5125654136 190365.65167168409),-0.11795776749366912,51.59704045045081,6184890723
204,204,8.195,Canal,POINT (532319.6480888337 187882.97979410522),-0.09196614281511382,51.57429504601409,26658612
205,205,8.195,Canal,POINT (531999.1907980695 187834.63755181438),-0.09660576696858138,51.573935754426834,802257766
206,206,8.195,Canal,POINT (531916.8466256884 187805.02480905654),-0.09780439130991292,51.573688917799764,802257766
207,207,8.195,Canal,POINT (530481.0918775244 190373.2355611576),-0.11755701153655901,51.597102215895546,6184890723
208,208,8.195,Canal,POINT (530665.1302478503 189628.12365352153),-0.11517858163236686,51.59036364931001,370093044
209,209,8.195,Canal,POINT (530568.848654005 189868.8340960012),-0.11647819093302388,51.592549101502314,20826289
210,210,8.195,Canal,POINT (530578.7338495859 189839.900187219),-0.1163463225420613,51.59228679731586,20826289
211,211,8.195,Canal,POINT (530775.2373548938 189395.16372611362),-0.11367676386521001,51.588244624111475,9799250177
212,212,2.7653,Canal,POINT (510153.1983063923 173896.08930243092),-0.4160588589451564,51.45334113361292,9202698345
213,213,2.7653,Canal,POINT (510284.95551999524 173687.70773443807),-0.41422825077974335,51.45144255914632,247465723
214,214,2.7653,Canal,POINT (510346.6357563536 173521.43925747633),-0.4133927305554851,51.449936135666334,16480007
215,215,2.7653,Canal,POINT (510557.9678665925 173300.2624907185),-0.41042172116050224,51.44790707857984,6338629253
216,216,2.7653,Canal,POINT (510056.9170257744 173978.6759487867),-0.41741831888690195,51.454102134392514,247465746
217,217,2.7653,Canal,POINT (510278.68374099914 173744.40338218896),-0.4143008264834527,51.45195336627128,9202698345
218,218,2.7653,Canal,POINT (510743.82111075317 173133.26199938369),-0.40780052802864475,51.44636985790913,7026453792
219,219,2.7653,Canal,POINT (510598.1630045476 173281.46282993193),-0.4098494068792339,51.44773027467575,3737355516
220,220,0.5602,Canal,POINT (533722.7828895289 183664.64393123373),-0.0733322872233544,51.536056356719804,108572
221,221,106.5393,Canal,POINT (517966.8231795488 183624.42837389855),-0.3004064027754459,51.539203961858476,3507694558
222,222,106.5393,Canal,POINT (518290.54191241984 183600.92128116952),-0.29574879302677853,51.538925061509765,1714258621
223,223,106.5393,Canal,POINT (517797.4770021417 183618.15256582972),-0.30284916504309817,51.5391828620256,36481789
224,224,106.5393,Canal,POINT (517598.4544711948 183767.0268253968),-0.30566781484505856,51.54056231222174,6307800190
225,225,106.5393,Canal,POINT (517397.63184966584 184049.756324524),-0.30846796835701756,51.543145116286645,32656917
226,226,106.5393,Canal,POINT (518843.4575908934 183789.72090800764),-0.2877164066775147,51.54050596433245,86114429
227,227,106.5393,Canal,POINT (519146.9717061272 183678.47909892356),-0.2833796318399716,51.53944229867865,304689747
228,228,106.5393,Canal,POINT (518414.73538638017 183544.34013154721),-0.2939779288173267,51.53839054058562,25434994
229,229,106.5393,Canal,POINT (519552.28979145904 183191.39433984284),-0.27770343553787025,51.53497905983257,25435164
230,230,106.5393,Canal,POINT (520483.1034365538 183221.3606479611),-0.26427940771671526,51.53505079718098,89406103
231,231,106.5393,Canal,POINT (528224.0593126903 183645.34571950798),-0.152576693228825,51.53715804919221,101839
232,232,106.5393,Canal,POINT (520736.7630198246 183141.15645061072),-0.2606514314383665,51.53427585560697,89399741
233,233,106.5393,Canal,POINT (521363.230136345 182709.36557155653),-0.2517724224907404,51.53026104772336,89414442
234,234,106.5393,Canal,POINT (515810.80693023256 178894.7178365901),-0.3330337238907418,51.49714021425337,1768596325
235,235,106.5393,Canal,POINT (515375.8678960063 179430.9695921588),-0.3391212746258805,51.502048828850036,8689224306
236,236,106.5393,Canal,POINT (515125.40978345857 179560.85212386955),-0.3426857412950565,51.50326720991947,243179060
237,237,106.5393,Canal,POINT (512777.8168204152 182656.94592989908),-0.3755048659712783,51.53156755086416,879579307
238,238,106.5393,Canal,POINT (512818.30289327237 182830.2398864093),-0.37486597140305217,51.533117013728955,68285900
239,239,106.5393,Canal,POINT (512910.923741411 182914.78871810093),-0.3735041011387883,51.533858434145166,3217449745
240,240,106.5393,Canal,POINT (513389.10469377914 183141.96897270877),-0.3665397345331338,51.53580456157268,68294257
241,241,106.5393,Canal,POINT (513437.7198163151 183192.04675345306),-0.36582297645668926,51.53624489364675,32351762
242,242,106.5393,Canal,POINT (513054.7650174983 183012.68514934255),-0.3713997376175838,51.53470955828334,3217449653
243,243,106.5393,Canal,POINT (513068.87666826503 183050.76300366168),-0.371184152542582,51.535048971510996,571503443
244,244,106.5393,Canal,POINT (513475.75970088976 183221.67163445306),-0.3652652016168933,51.53650351893198,32351762
245,245,106.5393,Canal,POINT (513848.60721912934 184128.44527104666),-0.3595987268074291,51.54457839187462,32351241
246,246,106.5393,Canal,POINT (515563.5809972623 183933.80691167302),-0.33494170835164705,51.542480921602035,31337633
247,247,106.5393,Canal,POINT (514954.84464751906 184534.25273401575),-0.34352025001696174,51.5480017487777,8693328605
248,248,106.5393,Canal,POINT (515032.53883400356 184375.7866033478),-0.34245194554007646,51.54656168450118,8693328605
249,249,106.5393,Canal,POINT (514195.7669411498 184242.32837200252),-0.35455758247591856,51.54553190156313,2288151506
250,250,106.5393,Canal,POINT (514812.0585745435 184454.04789092328),-0.34560474998033364,51.547309913255226,586527352
251,251,106.5393,Canal,POINT (515030.2030218078 184349.50846792787),-0.3424941925381607,51.5463259783779,32544810
252,252,106.5393,Canal,POINT (514523.3169033133 184279.68394112162),-0.3498237872261162,51.54580136139187,1773361481
